userid,user_key,created_at,created_str,retweet_count,retweeted,favorite_count,text,tweet_id,source,hashtags,expanded_urls,posted,mentions,retweeted_status_id,in_reply_to_status_id
1710804738,cookncooks,1476071353000,2016-10-10 03:49:13,,,,RT @ImDontai: Who won? #debate,785326291708878848,,"[""Debate""]",[],POSTED,[],,
1517678892,mrmoraan,1479511692000,2016-11-18 23:28:12,0,false,0,RT @jfkeeler: Bernie Sanders Calls on President Obama to Stop the Pipeline by Declaring Standing Rock a National Monument https://t.co/7Y3D…,799756121359556608,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],POSTED,"[""jfkeeler""]",799751231145213952,
1657694515,daileyjadon,1484148521000,2017-01-11 15:28:41,,,,RT @Danzig303: #MyFarewellWordsWouldBe Done in the form of expressionist dance,819204392842825729,,"[""MyFarewellWordsWouldBe""]",[],POSTED,[],,
2587100717,judelambertusa,1423502999000,2015-02-09 17:29:59,,,,I`D DO THE ICE BUCKET CHALLENGE BUT NOT AS THESE GUYS! http://t.co/F3jx0Rg7oq,564838634549821440,,[],[],POSTED,[],,
2533653547,evagreen69,1442348178000,2015-09-15 20:16:18,,,,"Defiant Migrants in Austria Ready to Test Germany""s Border Controls",643881045255843841,,[],[],POSTED,[],,
750656345926410240,klara_sauber,1499778166000,2017-07-11 13:02:46,,,,RT @Klages_an: Bei einem Runden Tisch wurde über Haftpflichtversicherungen für Boote diskutiert. Könnte das helfen? Nicht nur auf dem Rumme…,884759871291260928,,[],[],POSTED,[],,
2532611755,kathiemrr,1474880075000,2016-09-26 08:54:35,,,,"An apple* a day, keeps the doctor away.  *apple pie does not count.  #RulesForEverydayLiving",780329710999904256,,"[""RulesForEverydayLiving""]",[],POSTED,[],,
1694026190,jacquelinisbest,1479634391000,2016-11-20 09:33:11,,,,RT @AllenWestRepub: Allen West Republic https://t.co/IZbLeDwGql,800270756907139072,,[],[],POSTED,[],,
1868496344,brianaregland,1482787279000,2016-12-26 21:21:19,,,,RT @Echecrates: He will fight for her. Lie for her. Steal for her. For she is worthy of all that and more.,813494929997570048,,[],[],POSTED,[],,
,angelabach991,1500193892000,2017-07-16 08:31:32,,,,"RT @TheRocketBeans: Während der Pause zählen wir die Chips. Wer macht wohl am Ende das Rennen? @EtienneToGo,  Ian oder doch @LeSchroeck?  #…",886503554093121536,,[],[],POSTED,[],,
2533001646,jasper_fly,1473066515000,2016-09-05 09:08:35,,,,"Scooby Dooby Doo: you got a van, a group of hippies, one of them is always eating",772723087976591360,,[],[],POSTED,[],,
